firstname,lastname,email,company,role
Dan1,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan2,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan3,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan4,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan5,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan6,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan7,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan8,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan9,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan10,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan11,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan12,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan13,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan14,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan15,Biscup,dabiscup@microsoft.com,MSFT,CSA
Dan16,Biscup,dabiscup@microsoft.com,MSFT,CSA
